,information_gain
0,
1,
2,
3,
4,
5,
6,
7,3.0480672911330657
8,2.2944864822716227
9,113.14059411866106
10,118.53713531336872
11,47.14428692580873
12,62.036857133084595
13,31.612156626898468
14,5.70846393023794
15,21.425192891276765
16,2.378286831952437
17,5.917202832325984
18,9.0290382801918
19,282.292171597662
20,25.24562687012076
21,125.36492836709748
22,3.838148497105067
23,73.02377731946763
24,0.6424044176546886
25,3.3326788920219315
26,3.62435389204029
27,0.611195426823997
28,1.3629097144794289
29,5.088419146909018
30,1.4852470129931137
31,7.193615974313843
32,9.564747843665828
33,1.2421501606377203
34,358.23942155034433
35,22.914286215795983
36,517.8234589522804
37,3.5298225379533505
38,2717.360765691161
39,12.929160550806955
40,3.446187077279774
41,8.204462863855724
42,2.716373794805804
43,2.967198499492497
44,12.679974404448105
45,19.211905664631104
46,46.30754942156432
47,807.9695722902611
48,3.263899112450872
49,3670.7027001602
50,3.776772198527397
51,3.252416302370875
52,5.490821381736396
53,0.9181042974132652
54,6.554992821670794
55,1.6684118719863363
56,66.02318639516443
57,0.9650225676518858
58,1.2081453270602651
59,1.401943589523853
60,4.1011188211359695
61,1.3701601031607424
62,3.340226302026622
63,2.5273604620510923
64,0.0483545339727697
65,3.344612670222432
66,0.7321492036990094
67,0.4960036173952176
68,1.4084828848140205
69,1.439779327303313
70,1.5323166576249605
71,2.5739512244231264
72,0.9936001812425276
73,1.278115120919665
74,1.086331629303004
75,0.6840800678478445
76,1.2809864753912734
77,0.378999893080163
78,0.7820742869071182
79,0.5360692085359915
80,1.6931469850562737
81,1.287965096455082
82,1.4425463501670492
83,0.5970052214211137
84,0.4684386096341768
85,0.5434328723636099
86,3752.6009663117584
87,5.425151111401192
88,0.6616316726626792
89,8.375965550541423
90,28.545304851647415
91,9.945696961115344
92,20.45594400348091
93,1057.7563708837956
94,4074.930868789669
95,8.392523365026591
96,5.456859546335636
97,1.558996308109272
98,4.049117138923066
99,0.5686265283338798
