run_id,ALD_prep_time,ALD_purge_flow_rate,ALD_purge_plasma_flow_rate,ALD_purge_time,Ar_plasma_flow_rate,Ar_process_flow_rate,H2_plasma_flow_rate,LC_preset,N2_plasma_flow_rate,Number_of_ALD_cycles,RF_power_setpoint,Sample_name,TC_preset,ald_valves_delay,plasma_duration,plasma_prep_time,plasma_pressure,plasma_purge_time,precursor_dose_time,precursor_purge_time,process_pressure,Initial_thickness,Temperature,dep_rate_fit,dep_rate_mean,dep_rate_direct,dep_rate_deviation,fit_diff_variation,is_prior,from_recommendation_id,campaign_id
0tdsxswya9xsk000rzse2rwr7c,3596,12,0,2469,0,82,83,50,0,25,130,260318_TDMAT_Campaign0027,30,10,4041,4812,125,2744,4195,2469,203,0.20654,150,0.0729082142857143,0.0735,0.0846744,0.01129715514126075,7.82479500690928,False,0tdsxswy79xa1000zadbh273gg,0tdsxswy51t3x000g5286egb3g
0tdsy4bnb9y7k0002s6mm6vzk0,1154,11,0,1558,0,68,72,50,0,25,297,260318_TDMAT_Campaign0027,30,10,921,2597,96,2295,4953,1558,222,2.3248,150,0.06386285714285714,0.06398571428571428,0.06555599999999999,0.011100312553054995,3.965009376681019,False,0tdsy4bn8hryz000aef1mxymc0,0tdsxswy51t3x000g5286egb3g
0tdsyb6a29rks00024vydr8bz8,649,15,0,4236,0,47,37,50,0,25,275,260318_TDMAT_Campaign0027,30,10,1295,3124,167,7432,1586,4236,243,3.9909,150,0.0,0.0,0.0005720000000000169,1e-06,0.7764094913300236,False,0tdsyb69zst7d000btg84590ym,0tdsxswy51t3x000g5286egb3g
0tdsybgj1dv55000t28jjtz7n8,1770,12,0,3604,0,88,51,50,0,25,294,260318_TDMAT_Campaign0027,30,10,805,699,143,930,3436,3604,276,4.0025,150,0.07290285714285712,0.08299166666666673,0.06563599999999997,0.03505068849379258,2.318604410993759,False,0tdsybghy5vnv000e30rnk74j8,0tdsxswy51t3x000g5286egb3g
0tdsyj8jw5xj70004rnkz5fcy8,238,19,0,4206,0,37,92,50,0,25,100,260318_TDMAT_Campaign0027,30,10,4099,2098,281,5224,4554,4206,37,5.7763,150,0.1544185714285714,0.15380714285714284,0.15008,0.0031449424899837935,7.441199401206452,False,0tdsyj8js9yj700006b14yf520,0tdsxswy51t3x000g5286egb3g
0tdsywtt2nryn000ys92bzd2pg,3358,6,0,1080,0,80,72,50,0,25,223,260318_TDMAT_Campaign0027,30,10,3100,2473,79,6123,4097,1080,106,9.5577,150,0.0627289285714286,0.06265000000000003,0.059452,0.0034275668171044778,2.9915750280197297,False,0tdsywtt0hr5d0003e8fyj4psm,0tdsxswy51t3x000g5286egb3g
0tdsz63zdhxak00040zxpr00q4,2160,17,0,106,0,66,39,50,0,25,86,260318_TDMAT_Campaign0027,30,10,461,1994,52,9279,4048,106,204,11.083,150,0.08821000000000001,0.08798571428571426,0.08799999999999997,0.0019100699848277976,4.1042389659508824,False,0tdsz63zasyn3000batcgs2dvw,0tdsxswy51t3x000g5286egb3g
0tdsze5hx1rpz000gb6cd15drw,3678,2,0,3098,0,58,51,50,0,25,39,260318_TDMAT_Campaign0027,30,10,3490,2223,39,9639,126,3098,165,13.314,150,-0.0014589285714285208,0.004450000000000287,-0.00607999999999997,1e-06,0.32696490991517835,False,0tdsze5hsswhf000jhj3pktthw,0tdsxswy51t3x000g5286egb3g
0tdszs153hsk1000p3scxdjqr4,3358,5,0,1475,0,70,74,50,0,25,77,260318_TDMAT_Campaign0027,30,10,449,1514,31,7330,3373,1475,143,13.21,150,0.04750928571428571,0.0482857142857143,0.05151999999999994,0.00721762299047636,2.2297630638713875,False,0tdszs150ny230002tfqvtdkng,0tdsxswy51t3x000g5286egb3g
0tdt01d6qhrbx000r90v6my48m,1664,5,0,4260,0,44,79,50,0,25,158,260318_TDMAT_Campaign0027,30,10,1909,2761,30,8973,3110,4260,121,14.523,150,0.03966821428571424,0.039642857142857126,0.03652000000000001,0.00204020807262195,1.5377730192602137,False,0tdt01d6m1yb7000ev8hwrm9m8,0tdsxswy51t3x000g5286egb3g
0tdt0cwf2hsfd000gh7hzcga4g,3099,8,0,2998,0,60,94,50,0,25,34,260318_TDMAT_Campaign0027,30,10,4175,1174,32,5671,2517,2998,58,15.454,150,0.08109142857142863,0.08127857142857156,0.08159999999999996,0.0014833256898073635,2.842403253644454,False,0tdt0cwezszmh000tzjsh90jf4,0tdsxswy51t3x000g5286egb3g
0tdt0pny7dx39000vjjh5q16hg,808,15,0,1462,0,65,30,50,0,25,102,260318_TDMAT_Campaign0027,30,10,1538,2152,151,2730,535,1462,165,17.51,150,0.007434285714285644,0.030100000000000113,0.007680000000000007,0.022258681202822848,0.5735483349047559,False,0tdt0pny0hyrn000b62a43bds0,0tdsxswy51t3x000g5286egb3g
0tdt0vt871yz1000xnz59v3494,2528,19,0,19,0,88,78,50,0,25,283,260318_TDMAT_Campaign0027,30,10,911,3100,270,6428,2422,19,138,17.712,150,0.0,0.0,0.00019999999999996022,1e-06,0.09545635962141681,False,0tdt0vt81ntt9000fzdzjbrytr,0tdsxswy51t3x000g5286egb3g
0tdt0w46e5xmn000y05h6bhm00,587,4,0,139,0,74,60,50,0,25,59,260318_TDMAT_Campaign0027,30,10,545,2334,261,7746,3629,139,231,17.72,150,0.014939999999999946,0.015149999999999966,0.01700000000000003,0.0018294222351024777,0.7570896896668106,False,0tdt0w465srv7000v6xdmazpsw,0tdsxswy51t3x000g5286egb3g
0tdt12zsjsyyh000vzjjm3n64w,2104,18,0,2688,0,58,81,50,0,25,118,260318_TDMAT_Campaign0027,30,10,1717,444,84,1643,4004,2688,204,18.18,150,0.08356464285714268,0.0837142857142855,0.08260000000000005,0.027183946342934768,2.4165915609681363,False,0tdt12zsenz4b000pc8xrj2b5m,0tdsxswy51t3x000g5286egb3g
0tdt19xkant77000sn9330yk9g,2152,7,0,2570,0,51,54,50,0,25,265,260318_TDMAT_Campaign0027,30,10,1660,2752,249,6657,4605,2570,290,20.278,150,0.0,0.0,0.0003200000000001069,1e-06,0.1041399765617873,False,0tdt19xk0nt5d000km9a4yj7e0,0tdsxswy51t3x000g5286egb3g
0tdt1a7v4dwsd0000abahtbw7c,3717,9,0,271,0,80,66,50,0,25,271,260318_TDMAT_Campaign0027,30,10,2253,3259,246,2251,3010,271,262,20.287,150,0.025682142857142865,0.030123076923076954,0.027000000000000027,0.01671632798499023,0.8612068462207128,False,0tdt1a7v1nszd0009pg140detr,0tdsxswy51t3x000g5286egb3g
0tdt1h2ga1zvv000a5z50vrmqg,1059,18,0,2138,0,72,94,50,0,25,174,260318_TDMAT_Campaign0027,30,10,4148,152,40,3700,4666,2138,94,20.985,150,0.09415785714285711,0.09685714285714297,0.09576000000000008,0.010973325728830958,2.398392382529433,False,0tdt1h2g25rj9000xdmdjf0chw,0tdsxswy51t3x000g5286egb3g
0tdt1s2cent1k000f62cnpy280,1201,8,0,1962,0,81,70,50,0,25,139,260318_TDMAT_Campaign0027,30,10,4036,2364,225,8378,4705,1962,71,23.405,150,0.08989035714285706,0.08918571428571427,0.0913199999999999,0.014382323334211066,1.8942737778768128,False,0tdt1s2c41rmv000ttpmvzmy30,0tdsxswy51t3x000g5286egb3g
0tdt23mkmhydn0002enh0f7hcm,1628,4,0,3740,0,65,45,50,0,25,80,260318_TDMAT_Campaign0027,30,10,4746,3365,90,308,1929,3740,126,25.717,150,0.010036428571428576,0.010014285714285722,0.008680000000000092,0.0019985198604604458,0.21959639075987597,False,0tdt23mkhhvkb000w503d5nm3w,0tdsxswy51t3x000g5286egb3g
0tdt2c6acsvkh000yh5wdbmx2m,2270,13,0,4122,0,32,37,50,0,25,234,260318_TDMAT_Campaign0027,30,10,1002,4488,276,6253,3946,4122,107,25.987,150,0.10387357142857151,0.10592857142857147,0.10480000000000005,0.012937897189012977,2.0172372014156426,False,0tdt2c6a69t75000fab8q5tjrm,0tdsxswy51t3x000g5286egb3g
0tdt2qcfpdz3x000zpn8sy3ysm,2803,4,0,955,0,78,50,50,0,25,148,260318_TDMAT_Campaign0027,30,10,2831,2398,185,2688,1041,955,182,28.624,150,0.0016207142857142896,0.005888888888889375,-0.0002799999999999159,0.006491780177774571,0.2234624268978903,False,0tdt2qcfext1q000q3zgg2gxjw,0tdsxswy51t3x000g5286egb3g
0tdt2xp3mxzg70009p6ytnn4zr,3469,16,0,2507,0,28,90,50,0,25,170,260318_TDMAT_Campaign0027,30,10,2297,865,221,876,2464,2507,32,28.622,150,0.11385928571428579,0.10954285714285714,0.10912000000000006,0.03760466753487089,1.756733139494502,False,0tdt2xp3h1xpv000x741vzs368,0tdsxswy51t3x000g5286egb3g
0tdt34g1jnxff000mwc7h32qgc,3772,4,0,2796,0,34,50,50,0,25,241,260318_TDMAT_Campaign0027,30,10,563,3941,197,571,3437,2796,97,31.46,150,0.06287571428571441,0.061978571428571376,0.07051999999999993,0.022829091045399128,1.251833262532998,False,0tdt34g1ddr7d000sdahknxa08,0tdsxswy51t3x000g5286egb3g
0tdt3cee2sv0k000bxkre4kcmr,2552,11,0,1425,0,63,93,50,0,25,69,260318_TDMAT_Campaign0027,30,10,2617,4081,235,6213,3033,1425,265,33.302,150,0.039831428571428365,0.04025714285714242,0.03816000000000003,0.004828888408869105,0.2991073656436506,False,0tdt3cedqsx2h000r9xmyz6cj4,0tdsxswy51t3x000g5286egb3g
0tdt3nsj05zxx000xsmmq9fcb0,587,14,0,810,0,76,67,50,0,25,218,260318_TDMAT_Campaign0027,30,10,1931,2110,71,3251,3655,810,138,34.248,150,0.07404749999999986,0.0739142857142855,0.0729600000000002,0.008956869442170211,0.7212315620449187,False,0tdt3nshs5t29000e2wh0amzbr,0tdsxswy51t3x000g5286egb3g
0tdt3vwmmxsyv00053pym6f1h0,1305,15,0,2034,0,31,94,50,0,25,147,260318_TDMAT_Campaign0027,30,10,319,2011,57,8497,1263,2034,165,36.091,150,0.03863892857142882,0.03901428571428615,0.039120000000000064,0.007129301422685626,0.4699523836266804,False,0tdt3vwm75vw5000dt0czdz78m,0tdsxswy51t3x000g5286egb3g
0tdt43nwshykd000n8w02wzv80,3145,18,0,2049,0,40,97,50,0,25,233,260318_TDMAT_Campaign0027,30,10,3703,4556,268,8736,3238,2049,157,37.069,150,0.08688928571428559,0.08638571428571394,0.08899999999999977,0.016295391861454886,0.6724503816874788,False,0tdt43nwd1yt50002vxv7n3ps4,0tdsxswy51t3x000g5286egb3g
