recommendation_id,elapsed_time,new_predicted_output,new_predicted_uncertainty,current_trained_hps,average_rmse,plasma_duration,precursor_dose_time,process_pressure,ALD_purge_time,plasma_pressure,RF_power_setpoint,plasma_prep_time,plasma_purge_time,H2_plasma_flow_rate,Ar_process_flow_rate,ALD_purge_flow_rate,ALD_prep_time,campaign_id
0tdz7khb4hyex0001nnhd1kckc,4.5599997974932194e-05,,,,,2913.831509523276,4794.935210516787,21.658570373182975,3353.7233530685644,140.8240241126835,255.35031196479886,3824.107161539614,8866.848733000894,99.0756723095449,63.63702105986294,4.201840111834099,3900.2704588310175,0tdz7kh2xswb9000yz10vxyjdr
0tdz80kavxvxv000zwp478kks8,7.98000255599618e-05,,,,,4055.859924950839,4265.71532834241,294.01367748943096,2542.27599654823,257.2606257132003,30.325936546870118,4516.3990728426115,6787.247256040111,89.9859552765,77.12393498219697,12.977727436419089,3577.309079837753,0tdz7kh2xswb9000yz10vxyjdr
0tdz8ck7dnw67000830w18j9r8,4.339998122304678e-05,,,,,4004.21067760992,1040.0053845317457,279.6743925537272,2824.0861012432015,237.8165141638076,226.03151981798086,2099.3117599647558,1044.0154940238572,62.73277575397567,85.24260754788502,6.940827907842646,1913.6354063178132,0tdz7kh2xswb9000yz10vxyjdr
0tdz8kpe0dwqd000dfdg4365bw,3.679998917505145e-05,,,,,4722.302686622229,275.9843401558285,166.96702243242063,2264.155333944961,38.97904855801409,247.17905359539972,1731.700370349219,693.0061171610483,55.757633426570436,40.145025959148114,4.429850249454027,1429.0928199446844,0tdz7kh2xswb9000yz10vxyjdr
0tdz8sw1ssvjh000kcda8b5a8m,4.18000272475183e-05,,,,,2060.1473860481583,2004.2853298812865,249.62467800921056,311.43223826935065,265.842898538268,66.79991762135748,2784.3459601626273,7203.963558489905,81.48067822653523,80.29998974113157,13.831934606476729,3851.78159485187,0tdz7kh2xswb9000yz10vxyjdr
0tdz92226xyah000x8vdckzwa0,3.4800032153725624e-05,,,,,3758.5414826284286,1982.362766252463,210.81343494658142,2236.3119538765914,290.20877096566124,44.27138637179377,1228.9516532358566,7560.78094618098,32.21569415545669,25.56314755355861,14.287477740688614,2049.5752397703463,0tdz7kh2xswb9000yz10vxyjdr
0tdz9b7jmnrtv000dd40knfbsw,3.63999861292541e-05,,,,,1943.7300997881978,2994.8968702453576,88.63162911410812,538.082205926408,287.2911295455517,226.48361730830248,3104.290273250903,9116.799917288821,36.707977353661256,65.0013391914816,14.131451275026768,362.2113361504967,0tdz7kh2xswb9000yz10vxyjdr
0tdz9kefp9w9n000pqg7bcg7n4,3.609998384490609e-05,,,,,4699.215697685248,4782.459737742974,46.74196281092887,1741.2138150984697,284.26874350851745,176.0224646380856,201.4441928783023,9864.200178390645,34.265011511616365,29.338249178015616,8.901744122397105,3754.7096209131473,0tdz7kh2xswb9000yz10vxyjdr
0tdz9yvvqxs190008g7gmcjh84,3.6699988413602114e-05,,,,,2731.7788737869323,2072.1571742056644,37.75129899115279,1894.7863515235517,219.51386013801516,250.71459243537086,1649.4228535100358,4954.015179814058,98.73199588109442,41.818408020781234,4.570700868129954,1056.7804755679922,0tdz7kh2xswb9000yz10vxyjdr
0tdza65cw9v0f000bq2mk4tt9c,3.950000973418355e-05,,,,,3669.4073651034546,4138.858226958165,166.44705887232752,2383.1940361918805,36.827584702261845,89.39167522168985,3228.769369965647,2988.7042936849975,44.220088410813084,27.51271195748103,8.729504121417072,344.4410762617415,0tdz7kh2xswb9000yz10vxyjdr
