recommendation_id,elapsed_time,new_predicted_output,new_predicted_uncertainty,current_trained_hps,average_rmse,plasma_duration,precursor_dose_time,plasma_purge_time,ALD_purge_time,campaign_id
0t4vmnc8f9rrs000ffh0bq4b7w,5.659996531903744e-05,,,,,4045.77284900777,5311.379522754783,7528.955265800144,9062.0590489092,0t4vmnc8dxs5d000b1m8qq27k8
0t4vn5z66xx0q0004e9v8g7trw,3.260001540184021e-05,,,,,2076.9756673852667,7525.990821322083,17589.267562090376,7725.208310590348,0t4vmnc8dxs5d000b1m8qq27k8
0t4vnsh6gxwjx000gcgt31n908,5.099998088553548e-05,,,,,1631.7086347897434,1607.7093240643144,5626.632341708995,2171.5084428407026,0t4vmnc8dxs5d000b1m8qq27k8
0t4vp1kb7ht5q000vy2wcd9rrr,2.559996210038662e-05,,,,,6592.1437231856335,8764.47505769521,13427.631282634144,7316.741411672563,0t4vmnc8dxs5d000b1m8qq27k8
0t4vpnf72ntw70003rwkf0m2ar,4.560005618259311e-05,,,,,7481.212524337459,6716.049492789284,11010.23879019087,6907.014695739393,0t4vmnc8dxs5d000b1m8qq27k8
