,rmse_all_exp,rmse_all_exp_sem,rmse_current_exp,rmse_current_exp_sem,information_gain
0,,,,,
1,,,,,
2,,,,,
3,,,,,
4,,,,,
5,,,,,
6,0.06516075291375797,0.004376995251714211,0.06891981898745211,0.005321256787103929,
7,0.06530286921636264,0.004357684565880512,0.06904205964136799,0.005296095049300955,
8,0.05960347243293403,0.004414919066132519,0.06536185514067637,0.005410708928078175,
9,0.05926755795677734,0.004410099284393729,0.06499345758042023,0.005405389779305841,
10,0.05759794296973689,0.004338715279616706,0.06342231606657434,0.0053239443956120186,
11,0.0579331338636776,0.004399208160911444,0.06375393816107672,0.005400213164871264,
12,0.058261936350918954,0.004414337798592129,0.0641034242510552,0.005418313261280242,
13,0.05454185090391542,0.004424620017421636,0.05992628651023373,0.005441105957894326,
14,0.0542029634687154,0.004436029792318279,0.05951724234568126,0.005450352882949758,
15,0.05214328456336797,0.004534945699950795,0.05725762226899748,0.005582954474134775,
16,0.05205604019892585,0.004593191859952545,0.05713503091850193,0.005655861840631114,
17,0.052086805093700055,0.004597375921605081,0.05716333814522367,0.005660840859947981,
18,0.052041909315791605,0.004589311807797368,0.05710959590406135,0.005650798299351511,
19,0.05199112165363912,0.004601978357115868,0.05704602303814435,0.0056664403293870125,
20,0.05210746510572322,0.004645274569439899,0.05700229062756224,0.005719520576216513,
21,0.05255500908758955,0.00469223844660116,0.057491395719104575,0.005778081351869155,
22,0.05283649979471808,0.004713843984421575,0.057794623067403954,0.00580434212217613,
23,0.052811670814620765,0.0047117668682689785,0.05778629434286725,0.005801719899860636,
24,0.05255627734627376,0.004694234544062804,0.0575577939815067,0.005780716739722731,
25,0.05244782097652648,0.004692056528301347,0.05745242386706249,0.005777676813169333,
26,0.05241701716806774,0.004689421947943376,0.05741929458006816,0.005774490295526096,
27,0.05170459476094249,0.00462724920783384,0.05677984513912238,0.005698992371388667,
28,0.051739676026006806,0.004636467897410937,0.056835896316142054,0.005710625541795528,
29,0.05243716569885716,0.00467663176601665,0.0573827299608943,0.005756270343441259,
30,0.05246357797300417,0.004689090343584122,0.05739738038320054,0.00577159608916241,
31,0.05242291793054846,0.004683441437703452,0.05734327085685331,0.005764780891975135,
32,0.05233204704859935,0.004680064331827766,0.057244432442120186,0.005760809854447626,
33,0.052349311619819344,0.004680200308446684,0.05725239202937482,0.0057610764537328225,
34,0.0518780760278704,0.004646682815209051,0.05665745512211156,0.005720746534162248,
35,0.05195915550392122,0.004641774420653664,0.056627592037535424,0.005713706075958032,
36,0.051671362362670066,0.004613416446861014,0.05632027721437292,0.005677887098678521,
37,0.051676819350936876,0.004621390377882758,0.056350801926834,0.0056880353054572464,
38,0.05174674031778843,0.004626653148702928,0.056437688880268434,0.005694530743042642,
39,0.051712467634889965,0.0046339004684753625,0.05638302965626134,0.005703918845675744,
