recommendation_id,elapsed_time,new_predicted_output,new_predicted_uncertainty,current_trained_hps,average_rmse,plasma_duration,precursor_dose_time,process_pressure,ALD_purge_time,plasma_pressure,RF_power_setpoint,plasma_prep_time,plasma_purge_time,H2_plasma_flow_rate,Ar_process_flow_rate,ALD_purge_flow_rate,ALD_prep_time,campaign_id
0t7vptv9znwyz000gffpjrtvmm,138.21670620003715,0.01800077657757588,0.001309672931688781,"[0.001434409627327063, 0.30013163388096964, 0.5112314729989709, 0.4607776365324045, 1.4995904182919952, 1.4993996876165663, 1.4973761460863941, 1.4893506225787023, 1.4986385906462032, 1.4989685637267922, 0.4595191640513167, 1.4339469036885786, 1.4993193002660616, 0.031134106149268856]",0.027258847261113165,2585.546933106235,100.05406387441514,299.94669270508007,10.403537313370546,26.06249242533873,25.39571629662688,10.376058854619723,17.988779864529207,25.064286249925413,25.0325053221935,1.0084669317215957,3996.502913003005,0t7vprnmvhx37000xp0k6a0e8m
0t7vq083w5skn0003d54snwygm,115.11765209992882,0.028210157674109525,0.001292616676633023,"[0.0014160403440331149, 0.30110119432268945, 0.4951263229579853, 0.4398383836330432, 1.497756095779422, 1.4977149606177291, 1.499454850305658, 1.4927669703571298, 1.4997507473091733, 1.4996191728189983, 0.4493917048432313, 1.4573239599433658, 1.4999507896098008, 0.031549086688465816]",0.03830074098554706,2525.7831410447243,100.74423469012719,299.9949050698994,4994.56289005365,25.168562183333016,299.23568174891216,4998.319607978058,10.526532941161374,99.92718629457859,99.99616079729613,19.983949897004816,103.76323798893601,0t7vprnmvhx37000xp0k6a0e8m
0t7vqa0qthv75000e95nbcjjjw,121.0938636000501,0.0175388587421913,0.0012987936281071318,"[0.0014323164113677206, 0.30010153612669266, 0.512318582084665, 0.46162768055361353, 1.49875531370194, 1.4993060626068644, 1.4996293572607438, 1.4954026838587668, 1.4975608648685044, 1.499019272344724, 0.467731373916415, 1.4177989331130079, 1.4999387064931793, 0.03152542050369027]",0.04304288970101602,2532.201345462144,100.47252561537846,5.024771966272633,13.186180791000833,25.115457885984533,25.032809723501718,4996.764891290676,14.704447400517415,99.87379831522402,99.97226122434544,1.0124499062764831,103.13128289816893,0t7vprnmvhx37000xp0k6a0e8m
0t7vqcggt5zhx000ckmv4fdy9g,138.97637419996317,0.04780510704472095,0.001288668138852211,"[0.0014183693544157147, 0.30193996771535714, 0.5048072287080031, 0.4611325446649456, 1.4982763570871747, 1.4996937574505007, 1.4997881645141637, 1.4947848957878596, 1.498822981001556, 1.4997142817440494, 0.4616515387212836, 1.407098929309759, 1.4964664414023012, 0.03200063252277634]",0.04084931973822461,2646.7727494474634,4999.988080708393,299.96568119929066,4997.837711902414,25.67044333307298,25.031956392441852,4993.69170515962,9999.169740794447,25.052271255185364,25.00583623646976,19.98459528186281,101.13697695471375,0t7vprnmvhx37000xp0k6a0e8m
0t7vqvwdy5sw7000y5tz2v01ar,104.78882140002679,0.03683604786688026,0.0012784523210490003,"[0.0014131959496461663, 0.3007710334738588, 0.4986856418708303, 0.45121835416229544, 1.4993967885720851, 1.4977901864388536, 1.4990999366002915, 1.4936551926814532, 1.4995418799531834, 1.4999868894991522, 0.4394147679663113, 1.3623698765285785, 1.4994880989149728, 0.03223443544681069]",0.03873950460915636,2519.3965327724036,101.34974035308328,5.05871709934504,4999.515702712175,25.315225889266568,299.9261667436072,4999.012582012175,16.135649985834814,99.94620621076665,25.002165620263888,19.994995149838946,3999.775779419732,0t7vprnmvhx37000xp0k6a0e8m
0t7vr73q6nzjq000a8arrb077c,117.34820639993995,0.028766691225126605,0.0012628185034764298,"[0.0014178198419642213, 0.3006540758764593, 0.50551685787475, 0.46607642252435155, 1.4994174723973532, 1.4975993457877994, 1.4990382672068612, 1.490511215273824, 1.4975940656033195, 1.4999135341170988, 0.4584164474955225, 1.3846746860299333, 1.4998113112756895, 0.032249762176167346]",0.03536341053496014,2543.557338889423,100.49201638316939,299.9100644328089,4997.721567759218,299.8370709823537,299.84442018312967,4993.92636615497,9978.78022547782,99.99304370444726,25.049625610428034,19.987341682753033,102.41985639194506,0t7vprnmvhx37000xp0k6a0e8m
0t7vrmjhfssj7000xjndwtvn5m,109.3567576999776,0.05135237540023835,0.0012359193706185923,"[0.0014088386577202558, 0.3035131566796647, 0.5070632751569022, 0.46285819312969523, 1.4996576587257846, 1.4972215822798236, 1.4999027681998482, 1.4929913073135108, 1.4994858994698452, 1.4981335452863207, 0.4509038988074453, 1.3756995709832345, 1.4997387777257645, 0.032493365162490975]",0.03348176282327335,2589.863089257029,2783.350374272681,5.064712607420793,8.05383612627522,299.89733348881697,299.8945448200992,14.728805577129318,9995.85231635021,25.046618909658335,25.007545526677028,1.0047723242582263,100.2112778341407,0t7vprnmvhx37000xp0k6a0e8m
0t7vrxenhnxn1000hp33hfmv3w,119.30820049997419,0.031175460701240717,0.0012776184610341838,"[0.0014431185320048084, 0.3017141514016901, 0.4962907607739236, 0.45096573140784024, 1.4987346936945733, 1.4984907754146453, 1.4958052934753114, 1.4991414661535427, 1.4963968546459172, 1.4977393987649794, 0.4493032411960669, 1.4492110202426611, 1.4986687238785015, 0.03353520867065023]",0.028526850529976916,2535.7774380160386,4998.599688152531,5.0702414735006816,4996.880327691815,25.084053970920774,299.9008492994477,12.35728308908047,9990.834422816399,25.08814214912179,99.98563788600761,19.99859835685357,3996.6556181268475,0t7vprnmvhx37000xp0k6a0e8m
0t7vrzks09zp7000cp9fh2jgg4,117.55376869998872,0.06463059828358558,0.0012277269416803085,"[0.0014214237958641296, 0.31735797450533676, 0.48606405945749903, 0.42298750762419135, 1.4970107609893593, 1.4996108340509184, 1.4964185186918866, 1.48796832279914, 1.498955597124041, 1.4993365332848434, 0.44734962736356376, 1.405703376817125, 1.4997381258011928, 0.03233605680049201]",0.030315806063008995,2544.6971118447163,4999.799386475825,174.80103128006476,4999.179707448331,25.002488067304952,299.99425624864483,11.55874168360395,11.128054855290825,99.96159086629146,25.001948166764414,19.998513467970255,3999.207535969711,0t7vprnmvhx37000xp0k6a0e8m
0t7vsaqeb1sp7000319j9sgzgg,111.62574550008867,0.017356192363015235,0.0011776386869358918,"[0.0014357962992513906, 0.3919617057312833, 0.48456060277911844, 0.4237791910333349, 1.497817476883942, 1.4984123145396604, 1.4961538486602688, 1.4962564088540335, 1.4953918843239946, 1.499583275134734, 0.45342417186023853, 1.391807024294225, 1.4997147924958203, 0.03216693212757413]",0.02786999392777036,2746.273843705836,100.85619538535572,299.9996724711906,7.516334635404797,25.099275267682902,25.142023218579386,10.320507401645644,9994.980373624376,99.98035741707338,99.98122864317524,1.000687866301651,3999.753433218793,0t7vprnmvhx37000xp0k6a0e8m
