run_id,ALD_prep_time,ALD_purge_flow_rate,ALD_purge_plasma_flow_rate,ALD_purge_time,Ar_plasma_flow_rate,Ar_process_flow_rate,H2_plasma_flow_rate,LC_preset,N2_plasma_flow_rate,Number_of_ALD_cycles,RF_power_setpoint,Sample_name,TC_preset,ald_valves_delay,plasma_duration,plasma_prep_time,plasma_pressure,plasma_purge_time,precursor_dose_time,precursor_purge_time,process_pressure,Initial_thickness,Temperature,dep_rate_fit,dep_rate_mean,dep_rate_direct,dep_rate_deviation,fit_diff_variation,is_prior,from_recommendation_id,campaign_id
0t5t5tpca9wj70001wm9vxjrp8,3736,16,0,2890,0,55,67,50,0,25,89,250904_TDMAT_Campaign0018_01_RNG,30,10,3764,3926,278,7944,4499,2890,59,14.228,150,0.09560678571428576,0.09490000000000011,0.09663999999999995,0.007257114735603003,5.463530131196811,True,,0t7sgmp3f1vzv000fjpr6p0xr8
0t5t677gfxw7z000fha1ebtn1w,3317,1,0,246,0,48,52,50,0,25,95,250904_TDMAT_Campaign0018_01_RNG,30,10,4884,3144,137,6343,4483,246,246,16.603,150,0.006416785714285833,0.008676923076923079,0.007879999999999967,0.007773639267139763,0.7425216151458743,True,,0t7sgmp3f1vzv000fjpr6p0xr8
0t5t6h1awsw53000vvm0zqef90,348,1,0,977,0,66,28,50,0,25,63,250904_TDMAT_Campaign0018_01_RNG,30,10,4018,4932,252,8008,2839,977,174,16.764,150,0.0054975000000000405,0.006146153846154006,0.01,0.0024833647721823364,0.9723204073482252,True,,0t7sgmp3f1vzv000fjpr6p0xr8
0t5t6tm08hz59000ahafznjzcc,3870,17,0,3524,0,71,47,50,0,25,184,250904_TDMAT_Campaign0018_01_RNG,30,10,3938,1784,239,9929,499,3524,104,16.973,150,0.020778928571428563,0.020471428571428568,0.02240000000000009,0.004242039363228735,1.8941315605037776,True,,0t7sgmp3f1vzv000fjpr6p0xr8
0t5t764rr9xpb000maavsc258c,2751,6,0,4312,0,78,44,50,0,25,105,250904_TDMAT_Campaign0018_01_RNG,30,10,4936,1100,68,9165,282,4312,163,17.49,150,0.0035635714285713323,0.003549999999999847,0.0022400000000000375,0.0012081568015548142,1.3046669313561086,True,,0t7sgmp3f1vzv000fjpr6p0xr8
0t5vcqdmcxvcn000wncjkxygj8,101,19,0,9,0,25,99,50,0,25,25,250905_TDMAT_Campaign0019_02_GP,30,10,100,16,25,15,101,9,299,1.3774,150,-0.0012496428571428684,0.0046999999999999265,0.0005799999999999983,1e-06,1.9236114353423606,True,,0t7sgmp3f1vzv000fjpr6p0xr8
0t5vcrpzy9sg9000t7mdp0wr00,3995,1,0,7,0,25,99,50,0,25,299,250905_TDMAT_Campaign0019_02_GP,30,10,100,4998,299,11,100,7,5,1.3834,150,-0.00026464285714286525,0.0020999999999999465,0.004047999999999999,0.00061967733539314,2.485061259432516,True,,0t7sgmp3f1vzv000fjpr6p0xr8
0t5vcxgmyds5s000xnfddwpjxc,3993,19,0,4998,0,99,99,50,0,25,299,250905_TDMAT_Campaign0019_02_GP,30,10,101,14,25,10,4998,4998,299,1.4379,150,0.06839964285714285,0.06594285714285715,0.074368,0.028938795371456272,14.42657585572483,True,,0t7sgmp3f1vzv000fjpr6p0xr8
0t5vd5w72nttz000jrebgdzrm0,102,19,0,4990,0,25,25,50,0,25,299,250905_TDMAT_Campaign0019_02_GP,30,10,4997,12,299,21,2972,4990,299,3.1771,150,0.0723367857142857,0.07178571428571424,0.059416,0.0056231482212695146,8.24677362113812,True,,0t7sgmp3f1vzv000fjpr6p0xr8
0t5vde4961svd000kghaj9pmeg,114,1,0,19,0,99,99,50,0,25,25,250905_TDMAT_Campaign0019_02_GP,30,10,101,10,25,20,101,19,299,4.6648,150,-0.0007742857142857178,0.00354999999999972,0.00022800000000000153,1e-06,0.5927512519158428,True,,0t7sgmp3f1vzv000fjpr6p0xr8
0t5vdfen55xvn000f91mk5qwmc,3998,19,0,15,0,99,25,50,0,25,299,250905_TDMAT_Campaign0019_02_GP,30,10,100,4998,25,10,2124,15,5,4.6283,150,0.0,0.0,-0.0003920000000000101,1e-06,0.3410352494652236,True,,0t7sgmp3f1vzv000fjpr6p0xr8
0t5vdg1ffxyf1000033zr2s11g,115,1,0,4998,0,25,25,50,0,25,25,250905_TDMAT_Campaign0019_02_GP,30,10,102,23,25,17,4997,4998,5,4.6074,150,0.011431071428571445,0.011630769230769248,0.02353200000000001,0.005586437507362654,5.296216115104447,True,,0t7sgmp3f1vzv000fjpr6p0xr8
0t5vdq674xt3v000fx4vyngesw,3998,1,0,4999,0,99,25,50,0,25,299,250905_TDMAT_Campaign0019_02_GP,30,10,103,4998,25,11,2215,4999,5,5.0948,150,0.0,0.0,-0.00012000000000000454,1e-06,0.14963607070254015,True,,0t7sgmp3f1vzv000fjpr6p0xr8
0t5vdqrbwhwrq0006t6e5p4gbc,100,19,0,4992,0,99,99,50,0,25,25,250905_TDMAT_Campaign0019_02_GP,30,10,4996,4998,25,9993,2101,4992,299,5.0852,150,0.058768214285714285,0.05897857142857145,0.053283999999999984,0.004888642606144853,4.65958255165438,True,,0t7sgmp3f1vzv000fjpr6p0xr8
0t5ve5gnp5xzx000wfj3ef01qc,3995,10,0,4994,0,25,25,50,0,25,299,250905_TDMAT_Campaign0019_02_GP,30,10,103,23,26,9997,4998,4994,299,6.4053,150,0.0647914285714286,0.07248461538461534,0.09064799999999998,0.042098964835690415,17.975367814095723,True,,0t7sgmp3f1vzv000fjpr6p0xr8
0t5vej35g5z79000jpg5vzpe20,3998,10,0,4998,0,99,99,50,0,25,25,250905_TDMAT_Campaign0019_02_GP,30,10,102,4998,299,13,100,4998,299,8.6007,150,0.00506107142857142,0.006658333333333359,0.007019999999999982,0.0018459226840676305,0.8765825859048705,True,,0t7sgmp3f1vzv000fjpr6p0xr8
0t5vetr139rd9000wyfg0wws80,101,19,0,8,0,25,99,50,0,25,299,250905_TDMAT_Campaign0019_02_GP,30,10,4994,4979,25,23,4999,8,299,8.7297,150,0.0786235714285714,0.07806428571428572,0.07121200000000001,0.02315468502863955,6.747748741430342,True,,0t7sgmp3f1vzv000fjpr6p0xr8
0t5vf1vfxds7s0004bfztxkaz8,103,10,0,4999,0,25,99,50,0,25,299,250905_TDMAT_Campaign0019_02_GP,30,10,109,4999,25,9993,4999,4999,5,10.374,150,0.08961107142857141,0.0897571428571429,0.09095999999999997,0.003986533453966575,15.08908972583313,True,,0t7sgmp3f1vzv000fjpr6p0xr8
0t5vfevsdhwhb000cejm551wt4,112,1,0,4986,0,25,25,50,0,25,299,250905_TDMAT_Campaign0019_02_GP,30,10,135,14,299,9999,100,4986,299,12.637,150,0.005695000000000006,0.0073333333333332655,0.027959999999999995,0.00842074158782325,2.615126000702243,True,,0t7sgmp3f1vzv000fjpr6p0xr8
