recommendation_id,elapsed_time,new_predicted_output,new_predicted_uncertainty,current_trained_hps,average_rmse,plasma_prep_time,precursor_dose_time,plasma_purge_time,ALD_purge_time,campaign_id
0t49dprjz9tbb000ssqa8azzhg,3.819999983534217e-05,,,,,1771.1598839067208,255.28913455459588,498.28645777292445,4914.4089369607045,0t49dprjynzhz000esnegj1jk8
0t49dy3989vjz00075v27g1er8,3.390002530068159e-05,,,,,2805.9283617275996,2257.6257326914715,748.692402096466,4201.07858210381,0t49dprjynzhz000esnegj1jk8
0t49e65ktxwe1000xf7hm7ppnc,0.0006182999932207167,,,,,3507.417622893632,1171.4223479047052,3438.411427703341,1488.513273934581,0t49dprjynzhz000esnegj1jk8
0t49ed0wysrb3000hzb025dbq0,8.789997082203627e-05,,,,,3519.030861730904,3334.203011974763,4445.765473648082,225.83472172391993,0t49dprjynzhz000esnegj1jk8
0t49em4epxwef000h404n0meaw,4.859996261075139e-05,,,,,3029.2050654687523,5848.6812198617845,1401.7087966364475,1885.7677093020318,0t49dprjynzhz000esnegj1jk8
0t49fgty89zc50009ygyrncqpw,1.189226199989207,0.11090545848220949,0.001194690036574046,"[0.0011945900367012806, 0.11252883799097169, 1.490868523871123, 0.10012409255356813, 1.4973295092727934, 0.11090552488061749]",0.06654412463217389,14.57892598326487,1837.0124283413497,5952.139618767653,3097.9281902381804,0t49fgtahnrvv000294qhkf8jm
0t49frv529xck000qdx45jvdfr,1.314429400023073,0.10814293023091383,0.0009274301673660885,"[0.000927330656492577, 0.11680336764396193, 1.4882082093582878, 0.10000146430784751, 1.4953610296784194, 0.10815008931753181]",0.031217495589181174,12.135157340575532,5598.715782216617,2387.879868131059,1056.3886343974273,0t49fgtahnrvv000294qhkf8jm
0t49fzaf5xzgb000p1jgb9vr78,1.1106833000085317,0.10880329753529591,0.0007548628031104625,"[0.000754867987591311, 1.4925023466962584, 0.10021805960374597, 1.4902430111897074, 0.23503808133088377, 0.10829745621560835]",0.04033057914682698,23.543254723624077,4429.3454979873095,5997.418552631056,5998.56307763031,0t49fgtahnrvv000294qhkf8jm
0t49gam7bxxtf000xq67jhc8rm,1.0253718000021763,0.11269757697837049,0.0007289930012673627,"[0.000752653883186444, 1.4904643578486596, 0.21635954172963434, 1.4994774903487649, 0.25138057119863355, 0.1144171603144236]",0.03925157540500011,3999.99607701189,100.00342250319738,5999.976993852594,5999.992942733626,0t49fgtahnrvv000294qhkf8jm
0t49gnsg3nzvb0004x9cpz3fbg,1.1835593999712728,0.0694240357186036,0.0014829742040611182,"[0.0022358585714584746, 1.4989551583253147, 0.3229346883799697, 1.4984564347201452, 1.499855754456632, 0.09243394395477046]",0.057606087893647705,10.00307110452191,100.00126608363023,10.005142741667772,10.01095537208494,0t49fgtahnrvv000294qhkf8jm
0t49grc8phxbv000ay5qh3tcnr,1.3947447999962606,0.1269860113344077,0.001440591834608869,"[0.0022605543137866058, 1.4999251074098776, 0.22050659913989812, 1.4999462573317002, 1.4998591785733328, 0.08556905330454732]",0.048720945879734134,3999.9989860169835,4392.4593747304225,10.001587618637274,5999.997786383877,0t49fgtahnrvv000294qhkf8jm
0t49h2wbcnvzd000ppsaay7by4,1.3567252999637276,0.14100219701045963,0.001668192380468352,"[0.0030990795093572693, 1.4997892521435476, 0.3554228741597353, 1.4996908160849634, 1.4986500037510293, 0.08216741354940663]",0.05005421431757118,3999.998784228047,5999.998764432871,5999.999854642486,5999.99378712218,0t49fgtahnrvv000294qhkf8jm
0t49hgbm11xh3000nb07skz764,1.2330921000102535,0.1158312058882918,0.0014228104557206694,"[0.003008369362672566, 1.4996726936501632, 0.37058629785528147, 1.4997880797986527, 1.4990248876164576, 0.08561410094232476]",0.05125625257940403,10.000998398226194,3331.4301093923823,10.000131914620988,10.001694373697365,0t49fgtahnrvv000294qhkf8jm
0t49hm6x0srxb000y5vk378hbc,1.2973852999857627,0.06309196968753578,0.001151314538737963,"[0.0027205987275046913, 1.4998949881601882, 0.34023948022986245, 1.499838541478543, 1.4994694325493465, 0.08994953552506951]",0.025492355233438152,10.001069918105456,925.023674264362,10.00095483471392,5999.999257884027,0t49fgtahnrvv000294qhkf8jm
0t49hvsr51t3v000c5384zzbcg,1.3591704999562353,0.13644269967620917,0.0010030824964261937,"[0.002550710708409636, 1.499798552764248, 0.35149819847844954, 1.499892796606238, 1.4998340339933296, 0.08845623860597641]",0.018412196745749617,3999.9977453711936,5157.340656096152,5999.996869046543,10.001573113426323,0t49fgtahnrvv000294qhkf8jm
