FileName,Average_Growth_Rate_nm_per_cycle,Average_RMSE, Lin_GPC_nm
250812_TDMAT_Campaign0012_01_RNG.txt,5.9285793416598525,0.13556666666666597,0.14073951898850753
250812_TDMAT_Campaign0012_01_RNG.txt,5.661743890889706,0.14583749999999984,0.16133011166224095
250812_TDMAT_Campaign0012_01_RNG.txt,5.486270279270344,0.10390666666666656,0.11196623759398781
250812_TDMAT_Campaign0012_01_RNG.txt,5.237205027650681,0.16628000000000043,0.1710754739746333
250812_TDMAT_Campaign0012_01_RNG.txt,4.907804846358565,0.14408333333333367,0.1765096101000133
250812_TDMAT_Campaign0012_02_GP.txt,4.623410940456204,0.17341764705882418,0.1942612088216381
250812_TDMAT_Campaign0012_02_GP.txt,4.3649806277600804,0.0069533333333329965,0.006607775824600262
250812_TDMAT_Campaign0012_02_GP.txt,4.614731002674772,0.13325333333333259,0.13378643423414183
250812_TDMAT_Campaign0012_02_GP.txt,4.50244151176304,0.022459999999999997,0.015277375371516643
250812_TDMAT_Campaign0012_02_GP.txt,4.495095544654699,0.007893333333332938,0.007423109601430127
250812_TDMAT_Campaign0012_02_GP.txt,4.333900455183009,0.12856250000000014,0.14098037817903025
250812_TDMAT_Campaign0012_02_GP.txt,4.532103551260231,0.2153894736842104,0.2412571492574034
250812_TDMAT_Campaign0012_02_GP.txt,4.636043186278189,0.009793333333332536,0.008893707365816315
250812_TDMAT_Campaign0012_02_GP.txt,4.407085775333559,0.20608125000000044,0.233204504318551
250812_TDMAT_Campaign0012_02_GP.txt,4.720017100728383,0.2976066666666668,0.25466701979280354
250812_TDMAT_Campaign0012_02_GP.txt,5.051348424588081,0.19961333333333375,0.21152155668854128
250812_TDMAT_Campaign0012_02_GP.txt,4.8012145585883435,0.1446866666666665,0.15013719814466198
250812_TDMAT_Campaign0012_02_GP.txt,4.473418100437197,0.17848750000000102,0.18739842439616247
250812_TDMAT_Campaign0012_02_GP.txt,4.4052632469900646,0.14887999999999882,0.1526790024501919
250812_TDMAT_Campaign0012_02_GP.txt,4.72030848694882,0.18764374999999944,0.19238094387765642
250812_TDMAT_Campaign0012_02_GP.txt,4.494441012759489,0.0818333333333347,0.08662148086266036
250812_TDMAT_Campaign0012_02_GP.txt,4.055679994212689,0.17492777777777727,0.19578462837018346
250812_TDMAT_Campaign0012_02_GP.txt,3.865328586307612,0.19722000000000056,0.2060457222780487
250812_TDMAT_Campaign0012_02_GP.txt,3.972250063258168,0.1595799999999997,0.17026013611308982
250812_TDMAT_Campaign0012_02_GP.txt,4.238426125434006,0.13640666666666637,0.14464566583667524
250812_TDMAT_Campaign0012_02_GP.txt,4.564744441869538,0.20306666666666615,0.20855941578245027
250812_TDMAT_Campaign0012_02_GP.txt,4.737855210556149,0.10203333333333424,0.13843787530265364
250812_TDMAT_Campaign0012_02_GP.txt,4.7140714747398,0.0033062500000013983,0.004127847555953756
250812_TDMAT_Campaign0012_02_GP.txt,4.71056546154432,0.1115083333333331,0.16450076834028562
250812_TDMAT_Campaign0012_02_GP.txt,4.788560534516057,0.11139999999999949,0.11638228617435382
250812_TDMAT_Campaign0012_02_GP.txt,5.023562310627845,0.20855999999999994,0.20362482420319827
250812_TDMAT_Campaign0012_02_GP.txt,5.474604647921585,0.11372500000000052,0.1368348570634574
250812_TDMAT_Campaign0012_02_GP.txt,5.139843538262903,0.17380666666666683,0.18571969184842357
250812_TDMAT_Campaign0012_02_GP.txt,4.813433513633678,0.10015999999999962,0.1029276310047704
