recommendation_id,elapsed_time,new_predicted_output,new_predicted_uncertainty,current_trained_hps,average_rmse,plasma_duration,precursor_dose_time,process_pressure,ALD_purge_time,plasma_pressure,RF_power_setpoint,plasma_prep_time,plasma_purge_time,H2_plasma_flow_rate,Ar_process_flow_rate,ALD_purge_flow_rate,ALD_prep_time,campaign_id
0tdv8gw9v1t5s000qz0dnddzwm,27.563597900007153,0.041401273023314096,0.001674076555169592,"[0.001741046108198004, 0.8950143045802376, 0.30068535987681677, 1.4960064397079291, 1.4973303582672914, 1.4994632627764657, 1.499902164218105, 0.5504586912145523, 1.4896789381950968, 1.498903114044652, 1.4979362556053601, 0.6981474568084085, 1.4996070092191212, 0.0521060968929587]",0.032898714400360296,4998.886368223183,100.03511995516389,5.100227744614363,4996.113881814816,299.7960826676068,299.4611910762852,4999.817392481041,21.34655305119539,99.85390133578974,25.12205525137498,19.990827201395554,3998.193114726388,0tdv8ge7ndve5000dygb2eq7p0
0tdv8vepknrj10007m19af3rzr,12.929132499994012,0.03074403085623456,0.0016248174568167374,"[0.001737415123405417, 1.43439921724539, 0.3005293935288913, 1.491881977919756, 1.4968721378511096, 1.498831233579462, 1.4848738078478427, 0.9082019544033351, 1.4896022162369777, 1.4981817761476113, 1.4991936771290915, 0.5511661668395316, 1.499133908590862, 0.04441223260801808]",0.06657390105835893,102.91340517216317,105.66428341226393,5.064857354479419,5.298170106699105,299.5905452853945,299.54625369849776,4997.906299072876,16.798934033140295,99.97935741501774,89.95260949719756,1.0014502782153452,100.89918211048051,0tdv8ge7ndve5000dygb2eq7p0
0tdv8ynhm9tbk000rjryafpemw,11.028662299999269,0.05190709928482533,0.001544977169039004,"[0.0016665796574956964, 1.3692366651041248, 0.300410962201081, 1.4999794534746462, 1.4987381958841173, 1.4949274563471702, 1.4896491065924997, 0.8418514217709384, 1.4945992581999137, 1.4989156676026076, 1.4988859688037866, 0.6039603190965669, 1.499163434665793, 0.040668974032494615]",0.030623981218586654,4994.110622187607,4999.866715672862,299.5085804735758,4994.048268909025,299.9569191037641,25.13001547665821,11.596051224352832,16.795171099238917,25.066895740300414,25.103204553831198,1.0047957046790583,3999.4958094722374,0tdv8ge7ndve5000dygb2eq7p0
0tdv996nkhv77000g5akabfe2w,13.060707500000717,0.03002746894411258,0.0014678574888429185,"[0.0016218149598214385, 1.496019921622133, 0.3001425004047643, 1.490531130262161, 1.499737016702139, 1.4977383279779026, 1.437815633902559, 1.2102476558711293, 1.496706949037379, 1.4974063478797246, 1.4996057845919422, 0.5055380194198515, 1.4992317027001243, 0.03792483970598434]",0.03374283290496179,4997.2368927933885,1744.855281764094,299.893584365249,6.598722251616713,299.9787442755996,299.87668707378674,11.106858877319036,10.07856767075337,25.00473536309941,25.03206589676299,1.0012019596488648,3997.558910207501,0tdv8ge7ndve5000dygb2eq7p0
0tdv9ejj9nxrh000434vq4pdxw,13.56342130000121,0.030923386943308952,0.0014087230529993108,"[0.0015488355971385488, 1.496905997534709, 0.3001545283601813, 1.4169678863170794, 1.4997242129017172, 1.497039114341353, 1.0211721747400793, 1.4617446558532265, 1.4959182593267977, 1.4992107905904164, 1.4974782242381102, 0.5137582684851217, 1.4983807644473823, 0.036778056092781654]",0.030456289972227556,4993.091211811022,100.73321753028922,299.84088845776586,4990.469134188848,25.075830567426575,25.237188639347284,12.767880449195648,9999.239050079621,99.97246013488835,89.98007494955321,19.995386879761806,3996.5270744292607,0tdv8ge7ndve5000dygb2eq7p0
0tdv9v3cw9r8x000rcyn4adcd4,13.366388399997959,0.027695852977230748,0.0013108680016215794,"[0.0015245822027608914, 1.497875396549249, 0.30056768538073764, 1.4876818361858108, 1.498371511787346, 1.4992325217411775, 1.4793197599366423, 1.4932339969392938, 1.499067694037444, 1.4981223730742395, 1.4947833806260982, 0.5043921861237013, 1.4984386580649458, 0.03373699442766135]",0.024761785713568567,4999.207986505368,1932.658045513812,5.0290630418092235,4999.2785043333215,299.9252736998812,25.044027899296037,4995.6586151194915,13.005853861309744,25.000277692510224,89.95080498978356,1.0002294126977058,105.5098415768492,0tdv8ge7ndve5000dygb2eq7p0
0tdva4vbnnxk30005yv1kxqfcr,11.811705799991614,0.047459406856915506,0.0013439395805339644,"[0.0014932224189023978, 1.498592134528773, 0.3003433706102081, 1.017950530948116, 1.498513713402458, 1.495257618696284, 1.0843830588534895, 1.4869271284485999, 1.4829521785474828, 1.4993131574146035, 1.4955636751104269, 0.6181675875024294, 1.4994840885925174, 0.03610226951601847]",0.05840756225483967,102.7493750620727,4999.944309973378,5.098168109248013,4984.124757090229,25.104261382648648,25.020268336169384,4999.74731027801,49.00618195733367,25.215363518305526,25.14594035616999,1.0055839069011883,109.77258033783261,0tdv8ge7ndve5000dygb2eq7p0
0tdvadw5gdr4s000ssn7ddqgfg,11.126798099998268,0.029065313796952517,0.0012887147976243436,"[0.0014484603480260216, 1.4989158274795118, 0.30409743967457337, 0.8171159451306342, 1.4958453971001884, 1.499637619330413, 0.9164973925195432, 1.4951020487182687, 1.49910504927957, 1.4973281012462945, 1.496389536933314, 0.8036209586293004, 1.4976581884121232, 0.03872301578259019]",0.03356423535290024,109.94461597972548,101.83310482800246,5.150815128274533,7.421984372307372,299.7792489197516,25.000898086825835,15.181856897704657,9998.69337191466,99.80156393988783,25.050763514583025,19.996142173103024,105.87661619505816,0tdv8ge7ndve5000dygb2eq7p0
0tdvak3cqsxhk000r89ee4xrr8,14.21321450000687,0.02013247301543999,0.0012317837877039264,"[0.001405746833558071, 1.4980011313793076, 0.3008595818529787, 0.8824648744164919, 1.49936844500516, 1.490782184342484, 1.1166620972066377, 1.4984534006582633, 1.4999869423420367, 1.4943892215210326, 1.4977270866403378, 0.7909734323083992, 1.4989643446379106, 0.03643121532336607]",0.06562434075009381,118.32791232399666,101.69215224835534,299.9315295781809,4983.228579087206,299.74841516245243,25.29441305915372,4999.063789139344,12.482946075188528,99.82142903612916,25.06588466287098,1.0053730866407518,105.43137479694649,0tdv8ge7ndve5000dygb2eq7p0
0tdvat7jvnsck000syg7ke1a5r,12.559175599992159,0.04885713371877438,0.0011716580579980392,"[0.0013716317655264373, 1.4970387626698933, 0.3011019679397736, 0.9331759856899214, 1.4990026961080103, 1.4992415983453329, 1.3016969562514569, 1.495337893912509, 1.4982746922447638, 1.4961908680069018, 1.49894130448423, 0.7772772039876459, 1.4986798035412354, 0.03568001947143683]",0.035107359240536644,112.13140506023363,2610.9881452432696,5.2349763517753045,4982.789820470625,299.61252054732057,25.517787407366484,4998.971901550676,10.904495248824611,25.11426977114347,25.009900972591108,19.99982039264307,3999.2666446735116,0tdv8ge7ndve5000dygb2eq7p0
0tdvb3vwedwpd00068jqts3fa8,12.75196500000311,0.02263054341715487,0.0011385640886138744,"[0.0013425647096505563, 1.49641845940466, 0.30093676363920974, 0.964145154321704, 1.4977042395509572, 1.4990879484672668, 1.2501666757504735, 1.4971381955768401, 1.4938120237607033, 1.499384484346003, 1.4993017859666324, 0.780649443726072, 1.4990446578454868, 0.03580708108496494]",0.04962622150701325,101.42403253666258,1534.0334381866342,5.0199401696537915,4997.496839874402,299.7350406368027,299.82871585975846,13.92825711048045,9995.592372666359,25.015590773783533,89.94641052955004,1.004623214594347,3997.91098007194,0tdv8ge7ndve5000dygb2eq7p0
0tdvbf1e4xxv90004s8hz7aza8,13.230063599999994,0.016855298623858813,0.0011540110054536802,"[0.0013582077937973804, 1.4902464446711627, 0.300223179544153, 0.8198669865630571, 1.4995435708736915, 1.4974399466311898, 1.4848350429341606, 1.494734315932802, 1.4960584325409905, 1.4971335935698882, 1.4992329517611298, 0.7431091315005771, 1.4998501012036798, 0.036974537858822695]",0.03575552267138497,4999.43073552471,1510.3102848534372,299.98240072485845,13.57535464556437,25.065572752282122,299.79401840156606,4991.379567193233,9993.020489948856,99.99233525062115,89.97310893399121,1.0088244460443168,103.74473271933607,0tdv8ge7ndve5000dygb2eq7p0
0tdvbrm6sxwc30005bxq750pvc,12.071549799991772,0.04961921082975771,0.0010978288473899459,"[0.0012934211945689437, 1.4986962688536756, 0.30057549050544785, 0.8436215921632737, 1.498278659190285, 1.497708856556877, 1.4803655700389626, 1.4904598473428659, 1.496894492696168, 1.492574815827303, 1.4988239669226913, 0.7505035637280217, 1.4996500647603086, 0.03687929329230139]",0.05511346516810542,4998.319061915132,2741.499201387773,5.0985095329774675,6.670747831369444,25.107060189611826,299.87532746623975,4998.629744843709,15.974987296343757,25.0042992381379,25.059103150444827,19.99885938587812,101.43445651468687,0tdv8ge7ndve5000dygb2eq7p0
