run_id,ALD_prep_time,ALD_purge_flow_rate,ALD_purge_plasma_flow_rate,ALD_purge_time,Ar_plasma_flow_rate,Ar_process_flow_rate,H2_plasma_flow_rate,LC_preset,N2_plasma_flow_rate,Number_of_ALD_cycles,RF_power_setpoint,Sample_name,TC_preset,ald_valves_delay,plasma_duration,plasma_prep_time,plasma_pressure,plasma_purge_time,precursor_dose_time,precursor_purge_time,process_pressure,Initial_thickness,Temperature,dep_rate_fit,dep_rate_mean,dep_rate_direct,dep_rate_deviation,fit_diff_variation,is_prior,from_recommendation_id,campaign_id
0tdvjcyby1yqq000r0dt1phdm4,3995,1,0,12,0,58,99,50,0,25,299,260317_TDMAT_Campaign0026,30,10,4999,4998,299,33,100,12,299,45.752,150,0.003489999999999809,0.00636363636363639,0.010999999999999944,0.0025068171515696966,0.8008610421467345,False,0tdvjcybv1zkx0005p9t1cjkp8,0tdv8ge7ndve5000dygb2eq7p0
0tdvjkq0khx290000pb0nakm1c,3999,1,0,7,0,60,25,50,0,25,25,260317_TDMAT_Campaign0026,30,10,4999,4998,299,11,4999,7,5,45.933,150,0.1363417857142856,0.13537142857142825,0.13572000000000004,0.011360924797078472,1.1939102833036535,False,0tdvjkq0gsw29000c7m3a58pcm,0tdv8ge7ndve5000dygb2eq7p0
0tdvjwdj5dvb300066qa1w32dm,100,19,0,4997,0,50,25,50,0,25,25,260317_TDMAT_Campaign0026,30,10,4995,4999,299,9998,100,4997,5,49.433,150,0.006175000000000073,0.010890909090909546,0.008760000000000047,0.006192584208031226,0.2288467563537079,False,0tdvjwdhh5ydb000rsewes94fw,0tdv8ge7ndve5000dygb2eq7p0
0tdvk9gjxnzrx000dqe9djbsa4,102,19,0,10,0,89,25,50,0,25,25,260317_TDMAT_Campaign0026,30,10,103,10,25,15,2268,10,5,49.576,150,0.0,0.0,-0.00039999999999992044,1e-06,0.0732448254222137,False,0tdvk9gjtxtc3000kbwfm02f8m,0tdv8ge7ndve5000dygb2eq7p0
0tdvka4fahxvx000r0ab5zs708,3982,1,0,4998,0,89,25,50,0,25,25,260317_TDMAT_Campaign0026,30,10,102,4988,25,9999,4997,4998,299,49.557,150,0.044099642857142914,0.044950000000000045,0.04768000000000001,0.01724631430604415,0.999093072038626,False,0tdvka4f7dv7q000tvm8qzqkv0,0tdv8ge7ndve5000dygb2eq7p0
0tdvkrpv1sy71000sww9mez3wc,3998,19,0,4995,0,59,99,50,0,25,299,260317_TDMAT_Campaign0026,30,10,101,11,299,15,102,4995,5,50.733,150,0.005398571428571509,0.007981818181817667,0.003920000000000244,0.0020003718662552124,0.3329900074320413,False,0tdvkrpty9xyf000h3pxj1m4wc,0tdv8ge7ndve5000dygb2eq7p0
0tdvkzgnj1vnk0006ywgkr8b40,100,1,0,4999,0,58,25,50,0,25,299,260317_TDMAT_Campaign0026,30,10,103,4996,299,12,2925,4999,5,50.831,150,0.12082928571428568,0.12124999999999986,0.12595999999999974,0.005611436027053676,2.06694212332003,False,0tdvkzgnf1yrf00004yjr2dsp8,0tdv8ge7ndve5000dygb2eq7p0
0tdvm7xk49zgf0000tvkdmp4qg,3997,19,0,4998,0,25,99,50,0,25,299,260317_TDMAT_Campaign0026,30,10,4996,4985,25,11,3095,4998,299,54.041,150,0.05373321428571427,0.055715384615384576,0.05836000000000013,0.032103315097301716,1.1850200977553687,False,0tdvm7xk15rpx000dyfdxdjpqm,0tdv8ge7ndve5000dygb2eq7p0
0tdvmkt1s1v2b0007cw6q52180,3995,1,0,4997,0,25,25,50,0,25,25,260317_TDMAT_Campaign0026,30,10,4995,21,299,9881,2515,4997,5,55.422,150,0.11183035714285691,0.11169285714285694,0.11920000000000015,0.033478339784014106,0.9129232687125195,False,0tdvmkt1mhr8n000y37f53dpvr,0tdv8ge7ndve5000dygb2eq7p0
0tdvn1c151v330008h7rdk8myg,3991,19,0,4999,0,25,25,50,0,25,25,260317_TDMAT_Campaign0026,30,10,4993,4980,25,45,107,4999,299,58.411,150,0.002305357142857086,0.005150000000000432,0.0070400000000000774,0.0025586129054609935,0.4535849321538459,False,0tdvn1c11nyaf00090q20rs1bg,0tdv8ge7ndve5000dygb2eq7p0
0tdvnc3k0svk3000q11sskjjg0,102,19,0,7,0,59,99,50,0,25,25,260317_TDMAT_Campaign0026,30,10,4995,16,299,9984,100,7,299,58.551,150,0.004536071428571427,0.0073200000000007035,0.008040000000000021,0.006213340486403617,0.1832857280335017,False,0tdvnc3jxsxa1000wdtbqw4njr,0tdv8ge7ndve5000dygb2eq7p0
0tdvnkbd49vev0003vewspph6r,101,19,0,4999,0,25,99,50,0,25,25,260317_TDMAT_Campaign0026,30,10,100,23,299,9977,2833,4999,299,58.684,150,0.09212821428571429,0.09280714285714302,0.08580000000000013,0.004921013874296297,1.2825460791566474,False,0tdvnkbd1dzbs000sbtjzw7rpw,0tdv8ge7ndve5000dygb2eq7p0
0tdvnxmcz5ynb000hdgd11dpc8,106,19,0,4999,0,58,25,50,0,25,25,260317_TDMAT_Campaign0026,30,10,4994,4997,299,14,4997,4999,299,60.805,150,0.11048357142857125,0.10822142857142834,0.11111999999999994,0.0210720932098564,0.5781712596545774,False,0tdvnxmcw9yrs000thvahcsehm,0tdv8ge7ndve5000dygb2eq7p0
0tdvp8ppynssd000m86hh0qeqm,3944,18,0,4984,0,89,99,50,0,25,25,260317_TDMAT_Campaign0026,30,10,143,82,298,9906,4968,4984,290,63.616,150,0.09185178571428593,0.08897857142857239,0.08475999999999999,0.0224607651113603,1.6487962326451604,False,0tdvp8ppvds3n000c036ac8ber,0tdv8ge7ndve5000dygb2eq7p0
0tdvpn9yp1x8n000m1gs6aj7p8,103,19,0,6,0,58,25,50,0,25,299,260317_TDMAT_Campaign0026,30,10,102,15,299,9971,4997,6,5,65.689,150,0.02280678571428548,0.024699999999999785,0.032480000000000474,0.012485992151206748,0.6656252984857678,False,0tdvpn9yjxy7x000k1mkpsaf4m,0tdv8ge7ndve5000dygb2eq7p0
