FileName,Average_Growth_Rate_nm_per_cycle,Average_RMSE,Lin_GPC_nm,Lin_GPC_Std_Dev
260318_TDMAT_Campaign0027.txt,0.311171097079658,0.07736250000000001,0.07982906795189113,0.04329535526073935
260318_TDMAT_Campaign0027.txt,0.43407289943765764,0.06593333333333336,0.06993440697592125,0.03675679831628365
260318_TDMAT_Campaign0027.txt,0.5144807139759495,nan,0.00023471843515268512,0.001951734454069522
260318_TDMAT_Campaign0027.txt,0.5968627632571011,0.050266666666666696,0.07926449220226263,0.03229790541946937
260318_TDMAT_Campaign0027.txt,0.8218072273605178,0.14881250000000001,0.15954445750278443,0.0466320081218438
260318_TDMAT_Campaign0027.txt,1.006652564846496,0.06214374999999994,0.06644871482465843,0.035215473919156
260318_TDMAT_Campaign0027.txt,1.0924066850243939,0.08454000000000003,0.09797610884754418,0.028520777560394003
260318_TDMAT_Campaign0027.txt,1.1488483053204934,0.0,0.0,0.01038216925708963
260318_TDMAT_Campaign0027.txt,1.1697656081886862,0.05050666666666667,0.05377173837359912,0.02637911716911042
260318_TDMAT_Campaign0027.txt,1.2368486297301675,0.04060000000000008,0.044419789337615034,0.029567569688459763
260318_TDMAT_Campaign0027.txt,1.2913548054062913,0.08454374999999992,0.09310766063990547,0.04801534841470606
260318_TDMAT_Campaign0027.txt,1.3449470412449656,0.009553333333333332,0.008583453833145082,0.024817636632633967
260318_TDMAT_Campaign0027.txt,1.3485145925219784,nan,0.0,0.0014393749338746343
260318_TDMAT_Campaign0027.txt,1.354251051515417,0.01777333333333336,0.01782717703207224,0.0074182391477160495
260318_TDMAT_Campaign0027.txt,1.404219754060089,0.0915999999999999,0.10102030729850012,0.032375586469820396
260317_TDMAT_Campaign0026.txt,0.32204521236585265,0.014693333333333343,0.015252178155658743,0.02122970370275892
260317_TDMAT_Campaign0026.txt,0.3407150923290836,0.00032500000000000584,0.0001025194561409663,0.008198564901233269
260317_TDMAT_Campaign0026.txt,0.3461640293757829,0.000953333333333332,0.0016542695901249102,0.02845347489315736
260317_TDMAT_Campaign0026.txt,0.3773403465646958,0.009200000000000009,0.01021555754248129,0.010271874270294499
260317_TDMAT_Campaign0026.txt,0.3741630802987557,0.002926666666666655,0.0017777724713316388,0.017082037244731698
260317_TDMAT_Campaign0026.txt,0.44079422843610416,0.07326,0.07857043452917369,0.05525521498300255
260317_TDMAT_Campaign0026.txt,0.5694200322197932,0.07239374999999998,0.08291093959872424,0.04905734714601422
260317_TDMAT_Campaign0026.txt,0.6583662011836368,0.005646666666666651,0.0064384330886786524,0.00506372374992144
260317_TDMAT_Campaign0026.txt,0.6615398979736057,0.0,0.0,0.002647285224904013
260317_TDMAT_Campaign0026.txt,0.7033226378463874,0.035512000000000016,0.04567617220997864,0.1232756445336523
260317_TDMAT_Campaign0026.txt,0.7842587667628587,0.024386666666666675,0.03283499412160628,0.06506035494100465
260317_TDMAT_Campaign0026.txt,0.8106788699172152,0.01645000000000002,0.016438722760756273,0.019143279031302744
260317_TDMAT_Campaign0026.txt,0.9528850806126136,0.13182666666666673,0.14329344553732248,0.046026081914327326
260317_TDMAT_Campaign0026.txt,1.014598722936559,nan,0.0007000224253946664,0.0014273262295978527
260317_TDMAT_Campaign0026.txt,1.0645923319802428,0.09056874999999998,0.09939737585830617,0.04518802164917314
260317_TDMAT_Campaign0026.txt,1.1133656665838394,nan,0.0003748149840823506,0.0018324186690002102
260317_TDMAT_Campaign0026.txt,1.113974038966636,0.0025608695652173698,0.00368483959677051,0.005674761592905462
260317_TDMAT_Campaign0026.txt,1.1305588506310236,0.05289333333333334,0.051685605034502244,0.024479317347728388
260317_TDMAT_Campaign0026.txt,1.2320819183704068,0.26121874999999983,0.29171998514361824,0.09326898990301545
260317_TDMAT_Campaign0026.txt,1.3511892945889867,0.0,0.0,0.020291437322822972
260317_TDMAT_Campaign0026.txt,1.3121779785294385,nan,0.0,0.007481937384554586
260317_TDMAT_Campaign0026.txt,1.2828953011310673,0.00686666666666665,0.013831369059420087,0.004586344237584794
260317_TDMAT_Campaign0026.txt,1.337252329104576,0.012546666666666558,0.013959924666535584,0.008769614916613308
260317_TDMAT_Campaign0026.txt,1.3186931952290788,0.042377777777777896,0.03462147548454672,0.014019473190939699
260317_TDMAT_Campaign0026.txt,1.2925622677073851,0.01911052631578944,0.020293917134114225,0.010493706627567845
260317_TDMAT_Campaign0026.txt,1.2740042557303186,0.015804761904761783,0.022266301415099454,0.01633217471848174
260317_TDMAT_Campaign0026.txt,1.3972420283451656,0.010293333333333266,0.010518972225051533,0.022115033060830343
260317_TDMAT_Campaign0026.txt,1.4404381053859079,0.005282758620689717,0.009176238654496951,0.003258088592394642
260317_TDMAT_Campaign0026.txt,1.4555135168007265,0.018776470588235422,0.024436357861691824,0.03376202140925961
260317_TDMAT_Campaign0026.txt,1.4533588595804072,nan,0.0004985320675792542,0.0027607442519117617
260317_TDMAT_Campaign0026.txt,1.7680710205578853,0.33490624999999996,0.3717659714542884,0.10403433583888062
260317_TDMAT_Campaign0026.txt,2.2843189141846527,0.1102875000000001,0.12091268023028244,0.023695557963491532
260317_TDMAT_Campaign0026.txt,2.530257108255212,0.0821133333333331,0.11560604175420086,0.024728066931242385
260317_TDMAT_Campaign0026.txt,2.659130301629936,0.002042105263157623,0.002122580193222144,0.012895123016509209
260317_TDMAT_Campaign0026.txt,2.723722206274254,0.02682307692307699,0.03847840258988436,0.0295218490980402
260317_TDMAT_Campaign0026.txt,2.771013413294287,0.0024411764705881884,0.0024762393964173554,0.002748229208484918
260317_TDMAT_Campaign0026.txt,2.8313707552611187,0.002331914893617029,0.006060144614895755,0.003424857443441279
260317_TDMAT_Campaign0026.txt,2.900914162385234,0.03892666666666666,0.04119034134929248,0.02116768555040867
260317_TDMAT_Campaign0026.txt,3.000201425936195,0.020443750000000094,0.022830588514280416,0.0071881388740743495
260317_TDMAT_Campaign0026.txt,3.063411905337216,nan,0.032941314590289754,0.022402869134807397
260317_TDMAT_Campaign0026.txt,3.2072398060681877,0.13581333333333323,0.14545713812169334,0.036886934892771214
260317_TDMAT_Campaign0026.txt,3.275169430567939,0.07928888888888884,0.09042651596095376,0.020013494376342745
260317_TDMAT_Campaign0026.txt,3.382856727608642,0.0,0.0,0.0042655611230798625
260317_TDMAT_Campaign0026.txt,3.4337798515703555,nan,6.823380721469809e-05,0.0006772072045322635
260317_TDMAT_Campaign0026.txt,3.3463256733158744,0.003993333333333264,0.0037038056904559976,0.005948980388041619
