FileName,Average_Growth_Rate_nm_per_cycle,Average_RMSE, Lin_GPC_nm
250812_TDMAT_Campaign0012_05_Sweep1.txt,0.301035149497884,0.10129333333333333,0.1051756030453496
250812_TDMAT_Campaign0012_05_Sweep1.txt,0.35514708898641506,0.09543999999999997,0.09908152099088598
250812_TDMAT_Campaign0012_05_Sweep1.txt,0.4858482233882785,0.10021333333333331,0.10457492693634747
250812_TDMAT_Campaign0012_05_Sweep1.txt,0.6307923929836444,0.10167999999999999,0.10618745987192146
250812_TDMAT_Campaign0012_05_Sweep1.txt,0.7907390368041518,0.11656000000000001,0.1217128504741587
250812_TDMAT_Campaign0012_05_Sweep1.txt,0.941374627267891,0.11312666666666651,0.11849132255387836
250812_TDMAT_Campaign0012_05_Sweep1.txt,1.1316110891040103,0.1266933333333334,0.1317529897274298
250812_TDMAT_Campaign0012_05_Sweep1.txt,1.309970177605137,0.12019999999999982,0.1263814680661565
250812_TDMAT_Campaign0012_05_Sweep1.txt,1.5610822142872063,0.13626666666666645,0.14236162955707535
250812_TDMAT_Campaign0012_05_Sweep1.txt,1.784974827623422,0.12804666666666667,0.13485245465454182
250812_TDMAT_Campaign0012_05_Sweep1.txt,2.0908131124791325,0.1443866666666665,0.1503785988096466
250812_TDMAT_Campaign0012_05_Sweep1.txt,2.337545574124582,0.1272799999999999,0.13583702313427698
250812_TDMAT_Campaign0012_05_Sweep1.txt,2.6325889895055563,0.14844374999999976,0.15508606485246793
250812_TDMAT_Campaign0012_05_Sweep1.txt,2.8278414320603757,0.06886666666666676,0.09185646607885485
250812_TDMAT_Campaign0012_05_Sweep1.txt,3.045232838790646,0.14580666666666672,0.15164830799248782
