recommendation_id,elapsed_time,new_predicted_output,new_predicted_uncertainty,current_trained_hps,average_rmse,plasma_duration,precursor_dose_time,plasma_purge_time,ALD_purge_time,campaign_id
0t4vmnc8f9rrs000ffh0bq4b7w,5.659996531903744e-05,,,,,4045.77284900777,5311.379522754783,7528.955265800144,9062.0590489092,0t4vmnc8dxs5d000b1m8qq27k8
0t4vn5z66xx0q0004e9v8g7trw,3.260001540184021e-05,,,,,2076.9756673852667,7525.990821322083,17589.267562090376,7725.208310590348,0t4vmnc8dxs5d000b1m8qq27k8
0t4vnsh6gxwjx000gcgt31n908,5.099998088553548e-05,,,,,1631.7086347897434,1607.7093240643144,5626.632341708995,2171.5084428407026,0t4vmnc8dxs5d000b1m8qq27k8
0t4vp1kb7ht5q000vy2wcd9rrr,2.559996210038662e-05,,,,,6592.1437231856335,8764.47505769521,13427.631282634144,7316.741411672563,0t4vmnc8dxs5d000b1m8qq27k8
0t4vpnf72ntw70003rwkf0m2ar,4.560005618259311e-05,,,,,7481.212524337459,6716.049492789284,11010.23879019087,6907.014695739393,0t4vmnc8dxs5d000b1m8qq27k8
0t4vqs6qwhzav000rzc75zymdr,1.060320100048557,0.11466079730293652,0.0004955128691987573,"[0.0005020426349505308, 1.4740626494063653, 1.4968654423686663, 1.4998468125502482, 0.11807433327540184, 0.11756866725399995]",0.04920211807811764,9999.588643768899,9999.788752748185,19999.08540051623,10.022253168102836,0t4vqs613hzwx000c4eqn02kwm
0t4vrbrep9r8b00073b99myphw,1.0804132000193931,0.13950002319706095,0.0006615551442051181,"[0.0007335016544223875, 0.3753231715077501, 1.4986721099881213, 0.6519480344944605, 1.4999781118232547, 0.1321062207288038]",0.030061380663627096,9999.998401947667,100.01062081696004,10.000681502976061,10.068097037954397,0t4vqs613hzwx000c4eqn02kwm
0t4vrjmmmxwqz000dh5kw6nvvm,1.2701885999995284,0.07139534696414755,0.0021817057521833177,"[0.003118482072678154, 1.4995999698006863, 1.4966009335958297, 0.4007113928282013, 1.4999140905828479, 0.0952254556636588]",0.03963645357579809,100.01006489945647,9999.986934414708,10.000796389213201,9999.981675265388,0t4vqs613hzwx000c4eqn02kwm
0t4vs1agjdz7n0000c1qne7e3r,1.0550576000241563,0.12766713223662007,0.001933805171620009,"[0.0028097183602888154, 1.4996143145491136, 1.2056091413870704, 0.4430094027376443, 1.4994139090192828, 0.09781036152024719]",0.024661434508045026,9999.986783268818,100.0012172296721,19999.989780875538,9999.985321994192,0t4vqs613hzwx000c4eqn02kwm
0t4vsqtf4xvyf000t538t8khkr,1.2664644000469707,0.0834447692249207,0.0016044618753476012,"[0.0024405392022258682, 0.8063040544671309, 0.41418996696441884, 1.4999441013021504, 1.4997356709435379, 0.0886659457494253]",0.036088520680437566,100.00511958394267,100.00165289523882,19999.993962852313,9999.995226774377,0t4vqs613hzwx000c4eqn02kwm
