run_id,ALD_prep_time,ALD_purge_flow_rate,ALD_purge_plasma_flow_rate,ALD_purge_time,Ar_plasma_flow_rate,Ar_process_flow_rate,H2_plasma_flow_rate,LC_preset,N2_plasma_flow_rate,Number_of_ALD_cycles,RF_power_setpoint,Sample_name,TC_preset,ald_valves_delay,plasma_duration,plasma_prep_time,plasma_pressure,plasma_purge_time,precursor_dose_time,precursor_purge_time,process_pressure,Initial_thickness,Temperature,dep_rate_fit,dep_rate_mean,dep_rate_direct,dep_rate_deviation,fit_diff_variation,is_prior,from_recommendation_id,campaign_id
0t4vmnc911t6s0008z992t0swr,2000,5,0,9062,0,50,75,50,0,25,100,250812_TDMAT_Campaign0012_01_RNG,30,10,4045,3000,60,7528,5311,9062,10,77.039,150,0.11384750000000021,0.11417142857142945,0.11692000000000008,0.0027985783562953655,0.5653323997805141,False,0t4vmnc8f9rrs000ffh0bq4b7w,0t4vmnc8dxs5d000b1m8qq27k8
0t4vn5z6hnvad000jfhvb043cm,2000,5,0,7725,0,50,75,50,0,25,100,250812_TDMAT_Campaign0012_01_RNG,30,10,2076,3000,60,17589,7525,7725,10,79.947,150,0.13033964285714297,0.13012857142857218,0.12183999999999968,0.018735277212920464,0.7704678933316941,False,0t4vn5z66xx0q0004e9v8g7trw,0t4vmnc8dxs5d000b1m8qq27k8
0t4vnsh6yhtj3000h82665mvjr,2000,5,0,2171,0,50,75,50,0,25,100,250812_TDMAT_Campaign0012_01_RNG,30,10,1631,3000,60,5626,1607,2171,10,82.978,150,0.0889964285714284,0.0892000000000002,0.09364000000000033,0.01151626179427473,3.0395966180013345,False,0t4vnsh6gxwjx000gcgt31n908,0t4vmnc8dxs5d000b1m8qq27k8
0t4vp1kbjhzzd00002hwg9gd68,2000,5,0,7316,0,50,75,50,0,25,100,250812_TDMAT_Campaign0012_01_RNG,30,10,6592,3000,60,13427,8764,7316,10,85.29,150,0.1570246428571434,0.15824285714285732,0.15555999999999984,0.025007819185370244,4.45170500786269,False,0t4vp1kb7ht5q000vy2wcd9rrr,0t4vmnc8dxs5d000b1m8qq27k8
0t4vpnf7ghy3s0001nmmvmhzvg,2000,5,0,6907,0,50,75,50,0,25,100,250812_TDMAT_Campaign0012_01_RNG,30,10,7481,3000,60,11010,6716,6907,10,89.149,150,0.16465392857142824,0.16570000000000004,0.16879999999999995,0.019680882674748438,2.955133164499164,False,0t4vpnf72ntw70003rwkf0m2ar,0t4vmnc8dxs5d000b1m8qq27k8
0t4vqs6r8dvd7000099vhje66w,2000,5,0,10,0,50,75,50,0,25,100,250812_TDMAT_Campaign0012_02_GP,30,10,9999,3000,60,19999,9999,10,10,93.26,150,0.16460071428571424,0.16760714285714226,0.17599999999999966,0.020511162963675875,1.7302780422701927,False,0t4vqs6qwhzav000rzc75zymdr,0t4vqs613hzwx000c4eqn02kwm
0t4vrbreyns6z000r8dr2ew8cw,2000,5,0,10,0,50,75,50,0,25,100,250812_TDMAT_Campaign0012_02_GP,30,10,9999,3000,60,10,100,10,10,97.715,150,0.006741785714285188,0.0070230769230761325,0.010199999999999819,0.0024670611124459844,1.1794005014468196,False,0t4vrbrep9r8b00073b99myphw,0t4vqs613hzwx000c4eqn02kwm
0t4vrjmmz9yrf0001tv1cftf0w,2000,5,0,9999,0,50,75,50,0,25,100,250812_TDMAT_Campaign0012_02_GP,30,10,100,3000,60,10,9999,9999,10,97.889,150,0.09628250000000002,0.09656428571428576,0.09644000000000005,0.011842876529366152,0.633007224304944,False,0t4vrjmmmxwqz000dh5kw6nvvm,0t4vqs613hzwx000c4eqn02kwm
0t4vs1agx5yx9000bratr96ybg,2000,5,0,9999,0,50,75,50,0,25,100,250812_TDMAT_Campaign0012_02_GP,30,10,9999,3000,60,19999,100,9999,10,100.26,150,0.013018571428571792,0.02326923076923147,0.02759999999999991,0.05320866593119708,0.42040143698872723,False,0t4vs1agjdz7n0000c1qne7e3r,0t4vqs613hzwx000c4eqn02kwm
0t4vsqtfbdvan000h6tsjdsjyw,2000,5,0,9999,0,50,75,50,0,25,100,250812_TDMAT_Campaign0012_02_GP,30,10,100,3000,60,19999,100,9999,10,100.92,150,0.005571785714285226,0.006241666666666627,0.006800000000000068,0.0016869392072305527,0.15233444570876256,False,0t4vsqtf4xvyf000t538t8khkr,0t4vqs613hzwx000c4eqn02kwm
0t4vtaecqszxh0003j1p3dqy14,2000,5,0,10,0,50,75,50,0,25,100,250812_TDMAT_Campaign0012_02_GP,30,10,9999,3000,60,19999,3665,10,10,101.07,150,0.11892071428571412,0.11871428571428513,0.11960000000000036,0.0034537468562322662,0.9257219945026722,False,0t4vtaec7nzyx000cge2wf4cz0,0t4vqs613hzwx000c4eqn02kwm
0t4vttgzr5z61000kx3vfg9fe8,2000,5,0,10,0,50,75,50,0,25,100,250812_TDMAT_Campaign0012_02_GP,30,10,100,3000,60,10,7375,10,10,104.02,150,0.1797278571428575,0.17850714285714378,0.16960000000000036,0.008323843916786386,4.463173087855712,False,0t4vttgzdxscz000zscm4jez84,0t4vqs613hzwx000c4eqn02kwm
0t4vv0bza5w1k000gwd8p7pdj4,2000,5,0,9999,0,50,75,50,0,25,100,250812_TDMAT_Campaign0012_02_GP,30,10,9999,3000,60,10,100,9999,10,108.4,150,0.00906964285714277,0.00972307692307722,0.007199999999999704,0.004396354056951959,0.607467679441986,False,0t4vv0bz05s0n000c2pjz5gej0,0t4vqs613hzwx000c4eqn02kwm
0t4vvf23bhyfz000nx4pbk04e8,2000,5,0,10,0,50,75,50,0,25,100,250812_TDMAT_Campaign0012_02_GP,30,10,9999,3000,60,10,9999,10,10,108.53,150,0.18406428571428562,0.18372857142857107,0.18920000000000015,0.003527530210750722,1.8324874924378467,False,0t4vvf2329rd3000n2vwsk65gw,0t4vqs613hzwx000c4eqn02kwm
0t4vvstfa9vtv00008g505czdc,2000,5,0,10,0,50,75,50,0,25,100,250812_TDMAT_Campaign0012_02_GP,30,10,100,3000,60,19999,9999,10,10,113.31,150,0.19385821428571393,0.1953857142857142,0.1880000000000001,0.04311320409511379,5.883918944755642,False,0t4vvstennsqv000dvcyjdg3mg,0t4vqs613hzwx000c4eqn02kwm
0t4vw8g7axvt1000vv6s9637nc,2000,5,0,10,0,50,75,50,0,25,100,250812_TDMAT_Campaign0012_02_GP,30,10,9999,3000,60,10,4972,10,10,118.07,150,0.1652649999999998,0.16510000000000044,0.15720000000000028,0.010363190352671364,1.02224378068499,False,0t4vw8g70sz2b000sxmpswnjj0,0t4vqs613hzwx000c4eqn02kwm
0t4vwh983xrr1000bqceegh9nm,2000,5,0,9999,0,50,75,50,0,25,100,250812_TDMAT_Campaign0012_02_GP,30,10,9999,3000,60,19999,9999,9999,10,122.0,150,0.12515142857142852,0.12519285714285747,0.12160000000000025,0.0036867454260824566,1.266687834392396,False,0t4vwh97snzab0004n1p3j32cg,0t4vqs613hzwx000c4eqn02kwm
0t4vxbn17xx050008yhaa4f9qm,2000,5,0,9999,0,50,75,50,0,25,100,250812_TDMAT_Campaign0012_02_GP,30,10,9999,3000,60,19999,3198,9999,10,125.01,150,0.1583089285714286,0.15822142857142804,0.15519999999999926,0.004705191444630803,1.8443724613750028,False,0t4vxbn101xpf000e2j07yat18,0t4vqs613hzwx000c4eqn02kwm
0t4vy3bqz1rjs000gzfh2j838w,2000,5,0,9999,0,50,75,50,0,25,100,250812_TDMAT_Campaign0012_02_GP,30,10,100,3000,60,10,3329,9999,10,128.87,150,0.12032285714285636,0.1189714285714274,0.12039999999999963,0.00840811075870001,0.582640549181637,False,0t4vy3bqp5sd70009ffzsqmyp0,0t4vqs613hzwx000c4eqn02kwm
0t4vyfe0zsws3000cg2pn8qf34,2000,5,0,10,0,50,75,50,0,25,100,250812_TDMAT_Campaign0012_02_GP,30,10,100,3000,60,19999,5516,10,10,131.82,150,0.14485249999999986,0.14682142857142821,0.15200000000000047,0.020892280822334967,0.409026492919312,False,0t4vyfe0k1x6v000nsvk29cep8,0t4vqs613hzwx000c4eqn02kwm
0t4vywbpxnzz3000zmt0z7p28r,2000,5,0,10,0,50,75,50,0,25,100,250812_TDMAT_Campaign0012_02_GP,30,10,9999,3000,60,19999,1324,10,10,135.72,150,0.0704067857142858,0.06978571428571456,0.05919999999999959,0.004163078727311883,0.9947299933638878,False,0t4vywbpn5zj9000w65yw9k88r,0t4vqs613hzwx000c4eqn02kwm
0t4vzbh1msvrz0007nxx2ftecc,2000,5,0,10,0,50,75,50,0,25,100,250812_TDMAT_Campaign0012_02_GP,30,10,9999,3000,60,19999,7644,10,10,137.13,150,0.15597214285714187,0.15309999999999896,0.1475999999999999,0.04324300108523068,0.39777210627322857,False,0t4vzbh1astyx000932an8ze4r,0t4vqs613hzwx000c4eqn02kwm
0t4vzx5g8xxpk000ryr50t2yjc,2000,5,0,9999,0,50,75,50,0,25,100,250812_TDMAT_Campaign0012_02_GP,30,10,9999,3000,60,10,7953,9999,10,140.77,150,0.17821714285714296,0.1777857142857146,0.17399999999999977,0.0039980097089228105,5.412131392115267,False,0t4vzx5fy9rfq000gyg5y7p1nr,0t4vqs613hzwx000c4eqn02kwm
0t4w0exnj9y85000k4hcpdqh8r,2000,5,0,10,0,50,75,50,0,25,100,250812_TDMAT_Campaign0012_02_GP,30,10,9999,3000,60,10,2669,10,10,145.05,150,0.1677003571428575,0.16754999999999956,0.1691999999999996,0.004650460806662775,7.204723596257967,False,0t4w0exn3xsy1000cvxr2t35t4,0t4vqs613hzwx000c4eqn02kwm
0t4w0pt09nrnk0002vz7pvhvj8,2000,5,0,10,0,50,75,50,0,25,100,250812_TDMAT_Campaign0012_02_GP,30,10,100,3000,60,19999,2827,10,10,149.12,150,0.09815250000000018,0.09790714285714282,0.09600000000000022,0.013761668518326999,1.056492632284192,False,0t4w0pszthvn1000ba90dand64,0t4vqs613hzwx000c4eqn02kwm
0t4w12pa5hxcv000c2nfjz1e7m,2000,5,0,10,0,50,75,50,0,25,100,250812_TDMAT_Campaign0012_02_GP,30,10,100,3000,60,19999,8719,10,10,151.46,150,0.14773785714285695,0.1477642857142862,0.14519999999999983,0.010883251033637803,0.3477937200103094,False,0t4w12p9y9tpz0005rn515ekar,0t4vqs613hzwx000c4eqn02kwm
0t4w1gwdq5vpn000ae87jfd2kc,2000,5,0,10,0,50,75,50,0,25,100,250812_TDMAT_Campaign0012_02_GP,30,10,9999,3000,60,19999,6098,10,10,155.07,150,0.13543750000000096,0.1364214285714301,0.1416000000000008,0.007373328243593505,3.235348745462485,False,0t4w1gwdfnw0s000qsezjjczb8,0t4vqs613hzwx000c4eqn02kwm
0t4w21xe2ntdz0007nehmc0fpr,2000,5,0,10,0,50,75,50,0,25,100,250812_TDMAT_Campaign0012_02_GP,30,10,100,3000,60,10,100,10,10,158.54,150,0.003106428571428158,0.0052111111111104134,0.0032000000000005,0.002296588989707524,0.07084094006308662,False,0t4w21xds1rb3000hzwef6edjw,0t4vqs613hzwx000c4eqn02kwm
0t4w24xmknx1v00008x0ejc1fm,2000,5,0,9999,0,50,75,50,0,25,100,250812_TDMAT_Campaign0012_02_GP,30,10,9999,3000,60,10,1779,9999,10,158.57,150,0.13806035714285717,0.13802142857142843,0.14360000000000014,0.005599895224970022,2.5515594541560986,False,0t4w24xm4xvsz000tphvqy68bm,0t4vqs613hzwx000c4eqn02kwm
0t4w2m8stdsdq0007rr1sr0qx4,2000,5,0,9999,0,50,75,50,0,25,100,250812_TDMAT_Campaign0012_02_GP,30,10,100,3000,60,19999,1865,9999,10,162.09,150,0.08840392857142812,0.08860714285714266,0.09399999999999978,0.009590580519129737,0.7260898947543181,False,0t4w2m8sh5w7k000a5q0gkpm60,0t4vqs613hzwx000c4eqn02kwm
