,information_gain
0,
1,
2,
3,
4,
5,
6,
7,44.43633121979201
8,50.82457287945158
9,63.99076135039422
10,33.99127270197755
11,9.54396735234468
12,13.420002249844856
13,9.53698674287807
14,13.76714379430132
15,28.32595661221239
16,8.200384626465848
17,6.077126677716933
18,8.542233698848122
19,18.73919696909934
20,8.380580575585554
21,4.6245905743330695
22,7.544022169045547
23,2.749053609045859
24,8.802443506141572
25,12.250404628070555
26,2.2079521894474965
27,4.30560808274322
28,1.8789025496002976
29,2.7692500220805414
30,2.154496392404326
31,1.318257041580182
32,2.7201068785107054
33,3.821844966955268
34,1.8074564700618792
35,2.543451952664327
36,9.369442601424453
37,5.742636512084118
38,1.1570608607516988
39,1.5756950706554562
40,3.889313030158519
41,2.8478124080511407
42,1.970519581742792
43,1.3132481800089408
44,10.868728707041557
45,2.8906850748396664
46,0.9867914786673282
47,1.418919211857883
48,6.217439530596948
49,1.1924466123948605
50,1.3055146763904304
51,1.1507838696124963
52,1.828212092800186
53,1.209426148289822
54,3.0426775798032395
55,0.7180870196245905
56,3.8680895066136145
57,2.6171998790021007
58,1.4423391834911854
59,2.62843633478451
60,1.0453046342115613
61,1.3317524382755437
62,0.4652619149123893
63,1.043253405606265
64,1.015801696519702
65,2.184430599274492
66,0.6120158263877329
67,0.5155359052023414
68,0.415042296664069
69,0.4779040841990536
70,3.2208781122499204
71,4.795347032568543
72,0.7511932631136915
73,2.268605554682381
74,3.49596881864909
75,1.4121641263732272
76,0.5920460721706604
77,1.201566278161863
78,0.6180748410888555
79,0.538671501981753
80,0.7403766849897693
81,0.5904395941010989
82,1.2161533192993377
83,1.246985542174798
84,1.6850530870574405
85,0.4679816947707422
86,1.419380549190464
87,2.3381052410113625
88,1.4135562250646672
89,0.4816649656218033
90,2.3840168756391904
91,0.6912103803902028
92,2.725946457760529
93,1.6540052647601442
94,1.635740966776666
95,0.4218870855113437
96,0.768995063499915
97,1.3783813813015513
98,0.3341688441560109
99,0.6185458994423243
