,rmse_all_exp,rmse_all_exp_sem,rmse_current_exp,rmse_current_exp_sem,information_gain
0,,,,,
1,,,,,
2,,,,,
3,,,,,
4,,,,,
5,,,,,
6,0.06152772077876668,0.006761902961664545,0.05104193541914153,0.006661358775783233,
7,0.06424225459202741,0.006137048567189231,0.05233926504473282,0.006299666119477578,
8,0.06430410733247251,0.0061131083806693414,0.05248243097732982,0.006290087678717795,
9,0.05592525036293052,0.006042884605466313,0.03738275922701032,0.004903104631974642,
10,0.05547068581124231,0.0060570145475757,0.03688506878320332,0.004877645351879823,
11,0.05432919891612903,0.006071672192059237,0.03461208994172904,0.004501683801630756,
12,0.05471006649852152,0.006110447434341159,0.035088352974525644,0.00454829696702902,
13,0.054799527034136916,0.006116500572482035,0.035248173745796356,0.004569526480007697,
14,0.05253782037013793,0.006321923247117596,0.03355198929064389,0.004552775517224714,
15,0.05239741681543096,0.006377601324247068,0.03358851877569796,0.004832474695978425,
16,0.05246496521405978,0.006365509927235817,0.03371753802213353,0.004871708339075355,
17,0.050964933616330116,0.006146765892602341,0.031495938064684176,0.004581987228170335,
18,0.0509869180721613,0.006176598094527187,0.03160667837152435,0.004626078149480399,
19,0.050928748867575487,0.006171861662425035,0.031757345351115934,0.004632921108958003,
20,0.050867912353169016,0.006233946936502834,0.0313540908825027,0.004630800513391382,
21,0.05114686391675308,0.006250371769347009,0.03183743826117892,0.004702692205673253,
22,0.05117178446924035,0.006289740078559919,0.03194316725541159,0.004729434510514977,
23,0.050447328742013436,0.00626137774506484,0.031216095294031982,0.00461458281565981,
24,0.050225988214540856,0.0062490225080664725,0.030921263944449492,0.004571032603696625,
25,0.04995339651730239,0.0062899808941292434,0.03088935575402368,0.004608904169625812,
26,0.04991861046387927,0.006326956022573723,0.031162377574214098,0.00467729198308527,
27,0.05006632962661353,0.006358302455064367,0.031378777914857596,0.004712141544480732,
28,0.05007091924401075,0.006352072750989445,0.03133965202337809,0.004708826595447914,
29,0.05004357311382791,0.006357288934711058,0.031234567852998937,0.004705483209756405,
30,0.05003710446104657,0.006339515052860458,0.03124054318343453,0.004710346403013209,
31,0.05006781935031082,0.006363740526216099,0.03130716594434984,0.004723906937318221,
32,0.05010826616022227,0.0063574580981713,0.03140064144753083,0.004735244722181684,
33,0.05007057731989662,0.0063427219871718225,0.031373442862818554,0.004733484302887739,
34,0.04981184226943033,0.006351526248212157,0.030939432432392118,0.0047326093679497085,
35,0.049683992408335674,0.006345945297576432,0.030861541903717173,0.004759625933089579,
36,0.04958808770525558,0.006337021452202078,0.030786666812355368,0.004751717333421354,
37,0.0494599238924193,0.0063054007704394285,0.030430113652087143,0.004686411213657079,
38,0.04943558680179901,0.006321995438755768,0.030358014998486706,0.004680324112860612,
39,0.04940162668960688,0.006329374269046104,0.030243815301399208,0.004690618707973758,
